checkpoint,block,lp,fisher,tau_cross,tau_intra,tau_ratio,fisher_ovr_Filaments,fisher_ovr_Granuleux
base,block_0,36.988,0.4805,0.1341,0.4613,0.2907,0.1789,0.0469
base,block_1,46.218,0.2471,0.1116,0.3323,0.3358,0.1149,0.0298
base,block_2,46.709,0.3178,0.1295,0.3882,0.3337,0.1018,0.0489
base,block_3,49.578,0.1287,0.0610,0.2165,0.2815,0.0853,0.0148
base,block_4,53.819,0.1850,0.0840,0.2787,0.3012,0.0795,0.0242
base,block_5,54.194,0.1876,0.0861,0.2822,0.3051,0.0696,0.0248
base,block_6,55.812,0.2076,0.0961,0.3157,0.3045,0.0777,0.0299
base,block_7,55.241,0.2755,0.1221,0.3856,0.3166,0.0945,0.0444
base,block_8,56.933,0.2857,0.1308,0.4003,0.3269,0.1095,0.0513
base,block_9,56.033,0.2799,0.1360,0.3981,0.3415,0.1165,0.0536
base,block_10,56.561,0.3086,0.1435,0.4383,0.3273,0.1281,0.0644
base,block_11,52.523,0.2991,0.1386,0.4260,0.3253,0.1230,0.0624
base,block_12,56.772,0.2786,0.1311,0.4094,0.3203,0.1233,0.0571
base,block_13,50.423,0.3338,0.1374,0.4522,0.3037,0.1343,0.0669
base,block_14,45.601,0.2426,0.0923,0.4278,0.2156,0.1530,0.0390
base,block_15,44.853,0.2306,0.0893,0.4363,0.2046,0.1564,0.0360
base,stage_1_fpn,38.491,0.5435,0.1543,0.5602,0.2755,0.2029,0.0498
base,stage_2_fpn,43.030,0.5339,0.2191,0.6110,0.3586,0.1392,0.1020
base,stage_3_fpn,55.363,0.4271,0.1820,0.4889,0.3723,0.1475,0.0867
base,stage_4_fpn,45.036,0.2330,0.0856,0.4187,0.2045,0.1471,0.0304
eta0.3,block_0,32.696,0.4801,0.1309,0.4604,0.2843,0.1716,0.0475
eta0.3,block_1,44.525,0.2705,0.1177,0.3520,0.3343,0.1157,0.0325
eta0.3,block_2,47.500,0.3338,0.1330,0.4034,0.3296,0.1065,0.0503
eta0.3,block_3,46.858,0.1373,0.0646,0.2294,0.2814,0.0910,0.0151
eta0.3,block_4,53.232,0.1906,0.0854,0.2882,0.2963,0.0814,0.0230
eta0.3,block_5,54.010,0.2051,0.0932,0.2963,0.3146,0.0740,0.0253
eta0.3,block_6,54.992,0.2370,0.1073,0.3383,0.3172,0.0871,0.0315
eta0.3,block_7,53.057,0.2888,0.1240,0.3995,0.3104,0.0973,0.0439
eta0.3,block_8,61.613,0.2880,0.1294,0.4030,0.3211,0.1039,0.0439
eta0.3,block_9,57.695,0.2677,0.1282,0.3878,0.3306,0.1040,0.0396
eta0.3,block_10,59.374,0.2886,0.1247,0.4318,0.2887,0.1132,0.0423
eta0.3,block_11,54.183,0.2714,0.1166,0.4148,0.2812,0.1052,0.0406
eta0.3,block_12,50.629,0.2601,0.1122,0.3983,0.2817,0.0960,0.0386
eta0.3,block_13,49.080,0.2782,0.1068,0.4325,0.2469,0.0910,0.0366
eta0.3,block_14,40.681,0.2146,0.0664,0.4361,0.1522,0.1004,0.0226
eta0.3,block_15,44.952,0.1983,0.0602,0.4440,0.1356,0.1105,0.0217
eta0.3,stage_1_fpn,35.555,0.5285,0.1476,0.5373,0.2746,0.2059,0.0501
eta0.3,stage_2_fpn,45.746,0.5002,0.2049,0.5881,0.3485,0.1257,0.0924
eta0.3,stage_3_fpn,53.336,0.3425,0.1315,0.4417,0.2976,0.0767,0.0412
eta0.3,stage_4_fpn,41.495,0.2044,0.0597,0.4430,0.1348,0.1073,0.0252
eta1.0,block_0,36.530,0.4919,0.1336,0.4683,0.2853,0.1783,0.0482
eta1.0,block_1,41.059,0.2740,0.1191,0.3549,0.3357,0.1219,0.0324
eta1.0,block_2,48.330,0.3422,0.1361,0.4081,0.3334,0.1107,0.0527
eta1.0,block_3,47.551,0.1379,0.0650,0.2295,0.2832,0.0914,0.0157
eta1.0,block_4,55.496,0.2012,0.0910,0.2934,0.3103,0.0812,0.0258
eta1.0,block_5,53.095,0.2141,0.0969,0.3022,0.3206,0.0781,0.0273
eta1.0,block_6,54.784,0.2409,0.1090,0.3383,0.3221,0.0942,0.0310
eta1.0,block_7,52.185,0.2814,0.1204,0.3939,0.3055,0.1034,0.0419
eta1.0,block_8,55.102,0.2804,0.1263,0.3955,0.3193,0.1148,0.0406
eta1.0,block_9,53.375,0.2654,0.1294,0.3845,0.3365,0.1238,0.0384
eta1.0,block_10,55.492,0.2835,0.1305,0.4299,0.3035,0.1365,0.0419
eta1.0,block_11,52.099,0.2643,0.1216,0.4153,0.2928,0.1269,0.0391
eta1.0,block_12,51.691,0.2524,0.1166,0.4076,0.2860,0.1236,0.0343
eta1.0,block_13,46.847,0.2849,0.1128,0.4592,0.2455,0.1246,0.0336
eta1.0,block_14,42.737,0.2372,0.0755,0.4912,0.1537,0.1045,0.0215
eta1.0,block_15,41.085,0.2339,0.0755,0.4983,0.1516,0.1038,0.0213
eta1.0,stage_1_fpn,37.438,0.5075,0.1457,0.5252,0.2774,0.1924,0.0487
eta1.0,stage_2_fpn,46.272,0.5461,0.2041,0.5809,0.3514,0.1264,0.0974
eta1.0,stage_3_fpn,51.548,0.3326,0.1286,0.4786,0.2688,0.1172,0.0315
eta1.0,stage_4_fpn,41.850,0.2337,0.0808,0.4832,0.1671,0.1058,0.0187
