block,dim,lp_mean,lp_std,fisher,tau_cross,tau_intra,tau_ratio
block_4,384,55.4957,6.6065,0.201230,0.091044,0.293435,0.310268
block_10,384,55.4916,8.5369,0.283531,0.130476,0.429924,0.303486
block_8,384,55.1017,7.7107,0.280400,0.126304,0.395548,0.319313
block_6,384,54.7838,2.3831,0.240927,0.108968,0.338264,0.322138
block_9,384,53.3752,7.9839,0.265437,0.129403,0.384532,0.336521
block_5,384,53.0945,3.7498,0.214089,0.096871,0.302163,0.320591
block_7,384,52.1851,6.5816,0.281438,0.120361,0.393942,0.305531
block_11,384,52.0988,8.5334,0.264321,0.121612,0.415293,0.292835
block_12,384,51.6912,8.0944,0.252443,0.116559,0.407618,0.285952
stage_3_fpn,256,51.5478,10.1123,0.332636,0.128649,0.478591,0.268808
block_2,192,48.3301,11.3150,0.342180,0.136065,0.408102,0.333410
block_3,384,47.5510,8.2877,0.137906,0.064997,0.229471,0.283248
block_13,384,46.8466,7.0026,0.284915,0.112761,0.459242,0.245536
stage_2_fpn,256,46.2719,11.4622,0.546099,0.204116,0.580928,0.351361
block_14,768,42.7372,12.5953,0.237223,0.075492,0.491196,0.153690
stage_4_fpn,256,41.8501,14.2514,0.233678,0.080763,0.483237,0.167130
block_15,768,41.0854,12.4812,0.233904,0.075533,0.498287,0.151585
block_1,192,41.0593,11.6301,0.273997,0.119145,0.354944,0.335673
stage_1_fpn,256,37.4381,9.7798,0.507507,0.145721,0.525217,0.277448
block_0,96,36.5301,10.8130,0.491870,0.133587,0.468259,0.285284
